qnt,c2_p,c4_p,c5_p,c2_p_normalized,c4_p_normalized,c5_p_normalized,c2_real,c4_real,c5_real
X_syn,0.36,0.0,0.11,0.77,0.0,0.23,0.2,0.25,0.55
MAX_syn,0.36,0.0,0.12,0.75,0.0,0.25,0.2,0.25,0.55
T50_syn,0.84,0.96,0.5,0.36,0.42,0.22,0.2,0.25,0.55
MS_syn,0.78,0.68,0.47,0.4,0.35,0.24,0.2,0.25,0.55
MS2_syn,0.77,0.44,0.28,0.52,0.29,0.19,0.2,0.25,0.55
SMM_syn,0.84,1.0,0.81,0.32,0.38,0.31,0.2,0.25,0.55
HDy_syn,0.85,0.99,0.74,0.33,0.38,0.29,0.2,0.25,0.55
CC2,0.24,0.3,0.46,0.24,0.3,0.46,0.2,0.25,0.55
PWK,0.22,0.27,0.51,0.22,0.27,0.51,0.2,0.25,0.55
HDx,0.42,0.08,0.61,0.42,0.08,0.61,0.2,0.25,0.55
GAC,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.25,0.55
GPAC,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.25,0.55
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.25,0.55
EMQ,0.22,0.1,0.68,0.22,0.1,0.68,0.2,0.25,0.55
KDEyHD,0.91,0.0,0.09,0.91,0.0,0.09,0.2,0.25,0.55
KDEyCS,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.25,0.55
KDEyML,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.25,0.55
CC,0.65,0.8,0.72,0.3,0.37,0.33,0.3,0.27,0.43
PCC,0.68,0.62,0.7,0.34,0.31,0.35,0.3,0.27,0.43
ACC,0.24,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
PACC,0.72,0.58,0.61,0.38,0.3,0.32,0.3,0.27,0.43
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.27,0.43
MAX,0.22,0.0,0.06,0.78,0.0,0.22,0.3,0.27,0.43
MS,0.15,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
MS2,0.16,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
X,0.26,0.0,0.03,0.9,0.0,0.1,0.3,0.27,0.43
SMM,0.72,0.58,0.61,0.38,0.3,0.32,0.3,0.27,0.43
DyS,0.74,0.6,0.62,0.38,0.31,0.32,0.3,0.27,0.43
DySyn,0.72,1.0,0.93,0.27,0.38,0.35,0.3,0.27,0.43
HDy,0.75,0.62,0.68,0.37,0.3,0.33,0.3,0.27,0.43
ACC_syn,0.61,0.73,0.53,0.33,0.39,0.28,0.3,0.27,0.43
PACC_syn,0.68,0.49,0.6,0.38,0.28,0.34,0.3,0.27,0.43
X_syn,0.23,0.0,0.24,0.49,0.0,0.51,0.3,0.27,0.43
MAX_syn,0.23,0.0,0.24,0.49,0.0,0.51,0.3,0.27,0.43
T50_syn,0.84,1.0,0.88,0.31,0.37,0.32,0.3,0.27,0.43
MS_syn,0.61,0.73,0.63,0.31,0.37,0.32,0.3,0.27,0.43
MS2_syn,0.65,0.58,0.66,0.34,0.31,0.35,0.3,0.27,0.43
SMM_syn,0.81,0.86,0.87,0.32,0.34,0.34,0.3,0.27,0.43
HDy_syn,0.68,1.0,0.86,0.27,0.39,0.34,0.3,0.27,0.43
CC2,0.35,0.35,0.3,0.35,0.35,0.3,0.3,0.27,0.43
PWK,0.32,0.29,0.39,0.32,0.29,0.39,0.3,0.27,0.43
HDx,0.47,0.42,0.21,0.47,0.42,0.21,0.3,0.27,0.43
GAC,1.0,0.0,0.55,1.0,0.0,0.55,0.3,0.27,0.43
GPAC,1.0,0.35,0.0,1.0,0.35,0.0,0.3,0.27,0.43
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
EMQ,0.32,0.28,0.4,0.32,0.28,0.4,0.3,0.27,0.43
KDEyHD,0.91,0.0,0.09,0.91,0.0,0.09,0.3,0.27,0.43
KDEyCS,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
KDEyML,0.99,0.0,0.01,0.99,0.0,0.01,0.3,0.27,0.43
CC,0.73,0.72,0.63,0.35,0.35,0.3,0.3,0.27,0.43
PCC,0.71,0.6,0.68,0.36,0.3,0.34,0.3,0.27,0.43
ACC,0.12,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
PACC,0.78,0.37,0.57,0.45,0.22,0.33,0.3,0.27,0.43
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.27,0.43
MAX,0.17,0.0,0.09,0.65,0.0,0.35,0.3,0.27,0.43
MS,0.1,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
MS2,0.1,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
X,0.16,0.0,0.1,0.61,0.0,0.39,0.3,0.27,0.43
SMM,0.78,0.37,0.57,0.45,0.22,0.33,0.3,0.27,0.43
DyS,0.77,0.43,0.64,0.42,0.23,0.35,0.3,0.27,0.43
DySyn,0.75,1.0,0.96,0.28,0.37,0.35,0.3,0.27,0.43
HDy,0.81,0.5,0.73,0.4,0.25,0.36,0.3,0.27,0.43
ACC_syn,0.7,0.57,0.59,0.37,0.31,0.32,0.3,0.27,0.43
PACC_syn,0.68,0.36,0.58,0.42,0.22,0.36,0.3,0.27,0.43
X_syn,0.31,0.0,0.15,0.67,0.0,0.33,0.3,0.27,0.43
MAX_syn,0.31,0.0,0.15,0.67,0.0,0.33,0.3,0.27,0.43
T50_syn,0.74,0.96,0.74,0.3,0.39,0.3,0.3,0.27,0.43
MS_syn,0.7,0.63,0.55,0.37,0.34,0.29,0.3,0.27,0.43
MS2_syn,0.69,0.32,0.54,0.45,0.21,0.35,0.3,0.27,0.43
SMM_syn,0.91,1.0,0.82,0.33,0.37,0.3,0.3,0.27,0.43
HDy_syn,0.75,1.0,0.86,0.29,0.38,0.33,0.3,0.27,0.43
CC2,0.29,0.35,0.36,0.29,0.35,0.36,0.3,0.27,0.43
PWK,0.32,0.32,0.36,0.32,0.32,0.36,0.3,0.27,0.43
HDx,0.61,0.16,0.23,0.61,0.16,0.23,0.3,0.27,0.43
GAC,1.0,0.0,0.92,1.0,0.0,0.92,0.3,0.27,0.43
GPAC,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
EMQ,0.24,0.4,0.36,0.24,0.4,0.36,0.3,0.27,0.43
KDEyHD,0.57,0.0,0.43,0.57,0.0,0.43,0.3,0.27,0.43
KDEyCS,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
KDEyML,0.81,0.0,0.19,0.81,0.0,0.19,0.3,0.27,0.43
CC,0.62,0.76,0.66,0.3,0.37,0.32,0.3,0.27,0.43
PCC,0.67,0.62,0.68,0.34,0.31,0.34,0.3,0.27,0.43
ACC,0.29,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
PACC,0.7,0.58,0.57,0.38,0.31,0.31,0.3,0.27,0.43
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.27,0.43
MAX,0.29,0.0,0.02,0.93,0.0,0.07,0.3,0.27,0.43
MS,0.2,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
MS2,0.21,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
X,0.32,0.0,0.07,0.81,0.0,0.19,0.3,0.27,0.43
SMM,0.7,0.58,0.57,0.38,0.31,0.31,0.3,0.27,0.43
DyS,0.71,0.6,0.6,0.37,0.31,0.31,0.3,0.27,0.43
DySyn,0.66,1.0,0.81,0.27,0.4,0.33,0.3,0.27,0.43
HDy,0.73,0.67,0.67,0.35,0.32,0.32,0.3,0.27,0.43
ACC_syn,0.62,0.68,0.55,0.34,0.37,0.3,0.3,0.27,0.43
PACC_syn,0.67,0.48,0.57,0.39,0.28,0.33,0.3,0.27,0.43
X_syn,0.25,0.0,0.26,0.49,0.0,0.51,0.3,0.27,0.43
MAX_syn,0.25,0.0,0.26,0.49,0.0,0.51,0.3,0.27,0.43
T50_syn,0.82,0.94,0.78,0.32,0.37,0.31,0.3,0.27,0.43
MS_syn,0.62,0.7,0.62,0.32,0.36,0.32,0.3,0.27,0.43
MS2_syn,0.62,0.58,0.55,0.35,0.33,0.31,0.3,0.27,0.43
SMM_syn,0.71,1.0,1.0,0.26,0.37,0.37,0.3,0.27,0.43
HDy_syn,0.71,0.99,0.94,0.27,0.38,0.36,0.3,0.27,0.43
CC2,0.38,0.26,0.36,0.38,0.26,0.36,0.3,0.27,0.43
PWK,0.31,0.26,0.43,0.31,0.26,0.43,0.3,0.27,0.43
HDx,0.43,0.16,0.39,0.43,0.16,0.39,0.3,0.27,0.43
GAC,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
GPAC,1.0,1.0,0.0,1.0,1.0,0.0,0.3,0.27,0.43
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
EMQ,0.38,0.11,0.52,0.38,0.11,0.52,0.3,0.27,0.43
KDEyHD,0.73,0.0,0.27,0.73,0.0,0.27,0.3,0.27,0.43
KDEyCS,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
KDEyML,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
CC,0.68,0.77,0.69,0.32,0.36,0.32,0.3,0.27,0.43
PCC,0.69,0.61,0.68,0.35,0.31,0.34,0.3,0.27,0.43
ACC,0.2,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
PACC,0.74,0.52,0.58,0.4,0.28,0.32,0.3,0.27,0.43
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.27,0.43
MAX,0.22,0.0,0.05,0.82,0.0,0.18,0.3,0.27,0.43
MS,0.16,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
MS2,0.16,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
X,0.19,0.0,0.01,0.93,0.0,0.07,0.3,0.27,0.43
SMM,0.74,0.52,0.58,0.4,0.28,0.32,0.3,0.27,0.43
DyS,0.73,0.61,0.59,0.38,0.32,0.31,0.3,0.27,0.43
DySyn,0.7,1.0,0.78,0.28,0.4,0.31,0.3,0.27,0.43
HDy,0.74,0.75,0.68,0.34,0.35,0.31,0.3,0.27,0.43
ACC_syn,0.68,0.7,0.66,0.33,0.34,0.33,0.3,0.27,0.43
PACC_syn,0.69,0.46,0.65,0.38,0.25,0.36,0.3,0.27,0.43
X_syn,0.26,0.0,0.24,0.52,0.0,0.48,0.3,0.27,0.43
MAX_syn,0.26,0.0,0.24,0.52,0.0,0.48,0.3,0.27,0.43
T50_syn,0.84,0.9,0.74,0.34,0.36,0.3,0.3,0.27,0.43
MS_syn,0.68,0.65,0.65,0.34,0.33,0.33,0.3,0.27,0.43
MS2_syn,0.68,0.57,0.61,0.36,0.31,0.33,0.3,0.27,0.43
SMM_syn,0.73,1.0,0.84,0.28,0.39,0.33,0.3,0.27,0.43
HDy_syn,0.72,1.0,0.79,0.29,0.4,0.31,0.3,0.27,0.43
CC2,0.33,0.31,0.36,0.33,0.31,0.36,0.3,0.27,0.43
PWK,0.36,0.22,0.42,0.36,0.22,0.42,0.3,0.27,0.43
HDx,0.45,0.32,0.26,0.45,0.32,0.26,0.3,0.27,0.43
GAC,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
GPAC,1.0,0.48,0.0,1.0,0.48,0.0,0.3,0.27,0.43
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
EMQ,0.31,0.26,0.43,0.31,0.26,0.43,0.3,0.27,0.43
KDEyHD,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
KDEyCS,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
KDEyML,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
CC,0.71,0.83,0.64,0.33,0.38,0.29,0.3,0.27,0.43
PCC,0.7,0.63,0.67,0.35,0.32,0.33,0.3,0.27,0.43
ACC,0.15,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
PACC,0.76,0.72,0.55,0.38,0.36,0.27,0.3,0.27,0.43
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.27,0.43
MAX,0.18,0.0,0.09,0.67,0.0,0.33,0.3,0.27,0.43
MS,0.13,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
MS2,0.14,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
X,0.15,0.0,0.07,0.67,0.0,0.33,0.3,0.27,0.43
SMM,0.76,0.72,0.55,0.37,0.35,0.27,0.3,0.27,0.43
DyS,0.75,0.81,0.58,0.35,0.38,0.27,0.3,0.27,0.43
DySyn,0.75,1.0,0.73,0.3,0.4,0.29,0.3,0.27,0.43
HDy,0.78,0.84,0.68,0.34,0.37,0.3,0.3,0.27,0.43
ACC_syn,0.71,0.73,0.6,0.35,0.36,0.3,0.3,0.27,0.43
PACC_syn,0.7,0.52,0.63,0.38,0.28,0.34,0.3,0.27,0.43
X_syn,0.24,0.0,0.21,0.53,0.0,0.47,0.3,0.27,0.43
MAX_syn,0.24,0.0,0.21,0.53,0.0,0.47,0.3,0.27,0.43
T50_syn,0.78,0.98,0.58,0.33,0.42,0.25,0.3,0.27,0.43
MS_syn,0.71,0.77,0.6,0.34,0.37,0.29,0.3,0.27,0.43
MS2_syn,0.71,0.62,0.42,0.41,0.36,0.24,0.3,0.27,0.43
SMM_syn,0.75,0.93,1.0,0.28,0.35,0.37,0.3,0.27,0.43
HDy_syn,0.81,1.0,0.73,0.32,0.39,0.29,0.3,0.27,0.43
CC2,0.29,0.3,0.41,0.29,0.3,0.41,0.3,0.27,0.43
PWK,0.28,0.27,0.45,0.28,0.27,0.45,0.3,0.27,0.43
HDx,0.45,0.26,0.28,0.45,0.26,0.28,0.3,0.27,0.43
GAC,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
GPAC,1.0,1.0,0.0,1.0,1.0,0.0,0.3,0.27,0.43
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
EMQ,0.3,0.24,0.46,0.3,0.24,0.46,0.3,0.27,0.43
KDEyHD,0.48,0.0,0.52,0.48,0.0,0.52,0.3,0.27,0.43
KDEyCS,0.94,0.0,0.06,0.94,0.0,0.06,0.3,0.27,0.43
KDEyML,0.08,0.0,0.92,0.08,0.0,0.92,0.3,0.27,0.43
CC,0.7,0.82,0.65,0.32,0.38,0.3,0.3,0.27,0.43
PCC,0.7,0.62,0.64,0.36,0.32,0.33,0.3,0.27,0.43
ACC,0.17,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
PACC,0.76,0.59,0.49,0.41,0.32,0.27,0.3,0.27,0.43
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.27,0.43
MAX,0.21,0.0,0.09,0.7,0.0,0.3,0.3,0.27,0.43
MS,0.14,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
MS2,0.15,0.0,0.02,0.89,0.0,0.11,0.3,0.27,0.43
X,0.2,0.0,0.1,0.67,0.0,0.33,0.3,0.27,0.43
SMM,0.76,0.59,0.49,0.41,0.32,0.27,0.3,0.27,0.43
DyS,0.74,0.62,0.53,0.39,0.33,0.28,0.3,0.27,0.43
DySyn,0.71,1.0,0.74,0.29,0.41,0.3,0.3,0.27,0.43
HDy,0.75,0.57,0.63,0.39,0.29,0.32,0.3,0.27,0.43
ACC_syn,0.7,0.76,0.52,0.35,0.38,0.26,0.3,0.27,0.43
PACC_syn,0.7,0.48,0.53,0.41,0.28,0.31,0.3,0.27,0.43
X_syn,0.29,0.0,0.16,0.64,0.0,0.36,0.3,0.27,0.43
MAX_syn,0.29,0.0,0.17,0.63,0.0,0.37,0.3,0.27,0.43
T50_syn,0.79,0.98,0.74,0.31,0.39,0.29,0.3,0.27,0.43
MS_syn,0.7,0.76,0.52,0.35,0.38,0.26,0.3,0.27,0.43
MS2_syn,0.7,0.36,0.49,0.45,0.23,0.32,0.3,0.27,0.43
SMM_syn,0.75,0.85,1.0,0.29,0.33,0.38,0.3,0.27,0.43
HDy_syn,0.76,1.0,0.77,0.3,0.4,0.3,0.3,0.27,0.43
CC2,0.31,0.32,0.37,0.31,0.32,0.37,0.3,0.27,0.43
PWK,0.3,0.29,0.41,0.3,0.29,0.41,0.3,0.27,0.43
HDx,0.37,0.2,0.43,0.37,0.2,0.43,0.3,0.27,0.43
GAC,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
GPAC,1.0,1.0,0.0,1.0,1.0,0.0,0.3,0.27,0.43
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
EMQ,0.34,0.07,0.59,0.34,0.07,0.59,0.3,0.27,0.43
KDEyHD,0.81,0.0,0.19,0.81,0.0,0.19,0.3,0.27,0.43
KDEyCS,0.92,0.0,0.08,0.92,0.0,0.08,0.3,0.27,0.43
KDEyML,0.78,0.0,0.22,0.78,0.0,0.22,0.3,0.27,0.43
CC,0.67,0.67,0.71,0.33,0.33,0.35,0.3,0.27,0.43
PCC,0.71,0.59,0.67,0.36,0.3,0.34,0.3,0.27,0.43
ACC,0.21,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
PACC,0.77,0.28,0.56,0.48,0.17,0.35,0.3,0.27,0.43
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.27,0.43
MAX,0.25,0.0,0.06,0.8,0.0,0.2,0.3,0.27,0.43
MS,0.13,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
MS2,0.13,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
X,0.25,0.0,0.09,0.74,0.0,0.26,0.3,0.27,0.43
SMM,0.77,0.28,0.56,0.48,0.17,0.35,0.3,0.27,0.43
DyS,0.77,0.3,0.57,0.47,0.18,0.35,0.3,0.27,0.43
DySyn,0.71,1.0,0.87,0.28,0.39,0.34,0.3,0.27,0.43
HDy,0.77,0.38,0.6,0.44,0.22,0.34,0.3,0.27,0.43
ACC_syn,0.67,0.5,0.68,0.36,0.27,0.37,0.3,0.27,0.43
PACC_syn,0.71,0.32,0.64,0.42,0.19,0.38,0.3,0.27,0.43
X_syn,0.29,0.0,0.22,0.57,0.0,0.43,0.3,0.27,0.43
MAX_syn,0.29,0.0,0.22,0.57,0.0,0.43,0.3,0.27,0.43
T50_syn,0.9,0.7,0.74,0.38,0.3,0.32,0.3,0.27,0.43
MS_syn,0.67,0.57,0.61,0.36,0.31,0.33,0.3,0.27,0.43
MS2_syn,0.67,0.28,0.52,0.45,0.19,0.35,0.3,0.27,0.43
SMM_syn,0.75,0.96,1.0,0.28,0.35,0.37,0.3,0.27,0.43
HDy_syn,0.72,0.99,0.79,0.29,0.4,0.32,0.3,0.27,0.43
CC2,0.33,0.35,0.32,0.33,0.35,0.32,0.3,0.27,0.43
PWK,0.27,0.35,0.38,0.27,0.35,0.38,0.3,0.27,0.43
HDx,0.5,0.08,0.36,0.5,0.08,0.36,0.3,0.27,0.43
GAC,1.0,0.0,0.68,1.0,0.0,0.68,0.3,0.27,0.43
GPAC,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
EMQ,0.28,0.3,0.42,0.28,0.3,0.42,0.3,0.27,0.43
KDEyHD,0.43,0.0,0.57,0.43,0.0,0.57,0.3,0.27,0.43
KDEyCS,0.99,0.0,0.01,0.99,0.0,0.01,0.3,0.27,0.43
KDEyML,0.51,0.0,0.49,0.51,0.0,0.49,0.3,0.27,0.43
CC,0.71,0.78,0.67,0.33,0.36,0.31,0.3,0.27,0.43
PCC,0.72,0.61,0.66,0.36,0.31,0.33,0.3,0.27,0.43
ACC,0.15,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
PACC,0.78,0.47,0.52,0.44,0.26,0.29,0.3,0.27,0.43
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.27,0.43
MAX,0.16,0.0,0.09,0.63,0.0,0.37,0.3,0.27,0.43
MS,0.11,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
MS2,0.11,0.0,0.02,0.87,0.0,0.13,0.3,0.27,0.43
X,0.17,0.0,0.16,0.52,0.0,0.48,0.3,0.27,0.43
SMM,0.78,0.47,0.52,0.44,0.27,0.29,0.3,0.27,0.43
DyS,0.77,0.52,0.57,0.41,0.28,0.31,0.3,0.27,0.43
DySyn,0.77,1.0,0.77,0.3,0.39,0.3,0.3,0.27,0.43
HDy,0.79,0.59,0.71,0.38,0.28,0.34,0.3,0.27,0.43
ACC_syn,0.67,0.64,0.63,0.35,0.33,0.32,0.3,0.27,0.43
PACC_syn,0.72,0.37,0.44,0.47,0.24,0.29,0.3,0.27,0.43
X_syn,0.32,0.0,0.22,0.59,0.0,0.41,0.3,0.27,0.43
MAX_syn,0.32,0.0,0.22,0.59,0.0,0.41,0.3,0.27,0.43
T50_syn,0.9,1.0,0.8,0.33,0.37,0.3,0.3,0.27,0.43
MS_syn,0.71,0.71,0.62,0.35,0.35,0.3,0.3,0.27,0.43
MS2_syn,0.71,0.39,0.61,0.42,0.23,0.36,0.3,0.27,0.43
SMM_syn,0.76,0.82,0.95,0.3,0.32,0.38,0.3,0.27,0.43
HDy_syn,0.79,1.0,0.71,0.32,0.4,0.28,0.3,0.27,0.43
CC2,0.3,0.34,0.36,0.3,0.34,0.36,0.3,0.27,0.43
PWK,0.34,0.29,0.37,0.34,0.29,0.37,0.3,0.27,0.43
HDx,0.55,0.13,0.29,0.55,0.13,0.29,0.3,0.27,0.43
GAC,1.0,0.0,0.4,1.0,0.0,0.4,0.3,0.27,0.43
GPAC,1.0,0.08,0.0,1.0,0.08,0.0,0.3,0.27,0.43
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
EMQ,0.26,0.29,0.45,0.26,0.29,0.45,0.3,0.27,0.43
KDEyHD,0.75,0.0,0.25,0.75,0.0,0.25,0.3,0.27,0.43
KDEyCS,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
KDEyML,0.65,0.0,0.35,0.65,0.0,0.35,0.3,0.27,0.43
CC,0.66,0.71,0.75,0.31,0.33,0.35,0.3,0.27,0.43
PCC,0.67,0.61,0.72,0.33,0.31,0.36,0.3,0.27,0.43
ACC,0.23,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
PACC,0.7,0.53,0.67,0.37,0.28,0.35,0.3,0.27,0.43
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.27,0.43
MAX,0.28,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
MS,0.19,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
MS2,0.21,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
X,0.26,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
SMM,0.7,0.53,0.67,0.37,0.28,0.35,0.3,0.27,0.43
DyS,0.69,0.52,0.66,0.37,0.28,0.35,0.3,0.27,0.43
DySyn,0.68,1.0,1.0,0.25,0.37,0.37,0.3,0.27,0.43
HDy,0.71,0.53,0.74,0.36,0.27,0.38,0.3,0.27,0.43
ACC_syn,0.66,0.61,0.66,0.34,0.32,0.34,0.3,0.27,0.43
PACC_syn,0.67,0.5,0.62,0.37,0.28,0.35,0.3,0.27,0.43
X_syn,0.23,0.0,0.24,0.49,0.0,0.51,0.3,0.27,0.43
MAX_syn,0.23,0.0,0.24,0.49,0.0,0.51,0.3,0.27,0.43
T50_syn,0.79,0.98,0.88,0.3,0.37,0.33,0.3,0.27,0.43
MS_syn,0.66,0.62,0.66,0.34,0.32,0.34,0.3,0.27,0.43
MS2_syn,0.65,0.56,0.69,0.34,0.29,0.36,0.3,0.27,0.43
SMM_syn,0.7,1.0,1.0,0.26,0.37,0.37,0.3,0.27,0.43
HDy_syn,0.71,0.99,0.99,0.26,0.37,0.37,0.3,0.27,0.43
CC2,0.35,0.38,0.27,0.35,0.38,0.27,0.3,0.27,0.43
PWK,0.32,0.35,0.33,0.32,0.35,0.33,0.3,0.27,0.43
HDx,0.46,0.18,0.33,0.46,0.18,0.33,0.3,0.27,0.43
GAC,0.0,0.0,1.0,0.0,0.0,1.0,0.3,0.27,0.43
GPAC,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
EMQ,0.33,0.32,0.35,0.33,0.32,0.35,0.3,0.27,0.43
KDEyHD,0.91,0.01,0.08,0.91,0.01,0.08,0.3,0.27,0.43
KDEyCS,0.89,0.0,0.11,0.89,0.0,0.11,0.3,0.27,0.43
KDEyML,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
CC,0.73,0.74,0.65,0.34,0.35,0.31,0.3,0.27,0.43
PCC,0.72,0.6,0.66,0.36,0.3,0.33,0.3,0.27,0.43
ACC,0.12,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
PACC,0.79,0.38,0.52,0.47,0.23,0.31,0.3,0.27,0.43
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.27,0.43
MAX,0.21,0.0,0.02,0.91,0.0,0.09,0.3,0.27,0.43
MS,0.1,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
MS2,0.11,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
X,0.17,0.0,0.03,0.86,0.0,0.14,0.3,0.27,0.43
SMM,0.79,0.38,0.52,0.47,0.22,0.31,0.3,0.27,0.43
DyS,0.79,0.5,0.53,0.43,0.27,0.29,0.3,0.27,0.43
DySyn,0.75,0.99,0.86,0.29,0.38,0.33,0.3,0.27,0.43
HDy,0.83,0.51,0.59,0.43,0.27,0.3,0.3,0.27,0.43
ACC_syn,0.73,0.63,0.54,0.38,0.33,0.28,0.3,0.27,0.43
PACC_syn,0.72,0.21,0.52,0.49,0.15,0.36,0.3,0.27,0.43
X_syn,0.26,0.0,0.16,0.62,0.0,0.38,0.3,0.27,0.43
MAX_syn,0.26,0.0,0.16,0.62,0.0,0.38,0.3,0.27,0.43
T50_syn,0.94,0.96,0.66,0.37,0.38,0.26,0.3,0.27,0.43
MS_syn,0.73,0.59,0.54,0.39,0.32,0.29,0.3,0.27,0.43
MS2_syn,0.71,0.49,0.51,0.41,0.29,0.3,0.3,0.27,0.43
SMM_syn,0.77,1.0,1.0,0.28,0.36,0.36,0.3,0.27,0.43
HDy_syn,0.79,0.99,0.89,0.3,0.37,0.33,0.3,0.27,0.43
CC2,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.27,0.43
PWK,0.28,0.29,0.43,0.28,0.29,0.43,0.3,0.27,0.43
HDx,0.3,0.33,0.38,0.3,0.33,0.38,0.3,0.27,0.43
GAC,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
GPAC,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
EMQ,0.28,0.2,0.52,0.28,0.2,0.52,0.3,0.27,0.43
KDEyHD,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
KDEyCS,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
KDEyML,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.27,0.43
CC,0.73,0.62,0.76,0.35,0.29,0.36,0.17,0.67,0.16
PCC,0.74,0.57,0.72,0.36,0.28,0.36,0.17,0.67,0.16
ACC,0.12,0.0,0.0,1.0,0.0,0.0,0.17,0.67,0.16
