qnt,batch_index,t,c0_p,c1_p,c0_p_normalized,c1_p_normalized,c0_real,c1_real
PACC_syn,7,0.3673469387755101,0.45,0.55,0.45,0.55,0.44,0.56
X_syn,7,0.3673469387755101,0.38,0.62,0.38,0.62,0.44,0.56
MAX_syn,7,0.3673469387755101,0.38,0.62,0.38,0.62,0.44,0.56
T50_syn,7,0.3673469387755101,0.0,1.0,0.0,1.0,0.44,0.56
MS_syn,7,0.3673469387755101,0.43,0.57,0.43,0.57,0.44,0.56
MS2_syn,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
SMM_syn,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
HDy_syn,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
DyS_cdt,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
ACC_cdt,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
PACC_cdt,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
X_cdt,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
MAX_cdt,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
T50_cdt,7,0.3673469387755101,0.45,0.55,0.45,0.55,0.44,0.56
MS_cdt,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
MS2_cdt,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
SMM_cdt,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
HDy_cdt,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
CC2,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
PWK,7,0.3673469387755101,0.45,0.55,0.45,0.55,0.44,0.56
HDx,7,0.3673469387755101,0.47,0.53,0.47,0.53,0.44,0.56
GAC,7,0.3673469387755101,0.0,1.0,0.0,1.0,0.44,0.56
GPAC,7,0.3673469387755101,0.0,1.0,0.0,1.0,0.44,0.56
FM,7,0.3673469387755101,0.0,1.0,0.0,1.0,0.44,0.56
EMQ,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
KDEyHD,7,0.3673469387755101,0.0,1.0,0.0,1.0,0.44,0.56
KDEyCS,7,0.3673469387755101,0.0,1.0,0.0,1.0,0.44,0.56
KDEyML,7,0.3673469387755101,0.03,0.97,0.03,0.97,0.44,0.56
CC,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
PCC,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
ACC,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
PACC,8,0.3877551020408163,0.38,0.62,0.38,0.62,0.38,0.62
