qnt,batch_index,c1_p,c2_p,c3_p,c4_p,c5_p,c6_p,c7_p,c1_p_normalized,c2_p_normalized,c3_p_normalized,c4_p_normalized,c5_p_normalized,c6_p_normalized,c7_p_normalized,c1_real,c2_real,c3_real,c4_real,c5_real,c6_real,c7_real
PCC,711,0.79,0.76,0.97,0.9,0.76,0.88,0.95,0.13,0.13,0.16,0.15,0.13,0.15,0.16,0.05,0.18,0.53,0.02,0.04,0.07,0.11
ACC,711,0.0,0.0,1.0,0.01,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PACC,711,0.92,0.48,0.0,0.95,0.35,0.42,0.86,0.23,0.12,0.0,0.24,0.09,0.11,0.22,0.05,0.18,0.53,0.02,0.04,0.07,0.11
T50,711,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MAX,711,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS,711,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS2,711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
X,711,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
SMM,711,0.92,0.48,0.0,0.95,0.35,0.42,0.86,0.23,0.12,0.0,0.24,0.09,0.11,0.22,0.05,0.18,0.53,0.02,0.04,0.07,0.11
DyS,711,0.93,0.4,0.65,0.93,0.26,0.55,0.91,0.2,0.09,0.14,0.2,0.06,0.12,0.2,0.05,0.18,0.53,0.02,0.04,0.07,0.11
DySyn,711,0.94,1.0,1.0,0.94,1.0,1.0,0.99,0.14,0.15,0.15,0.14,0.15,0.15,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
HDy,711,0.96,0.5,0.83,0.97,0.27,0.73,0.94,0.19,0.1,0.16,0.19,0.05,0.14,0.18,0.05,0.18,0.53,0.02,0.04,0.07,0.11
ACC_syn,711,0.86,0.98,1.0,0.86,1.0,1.0,0.95,0.13,0.15,0.15,0.13,0.15,0.15,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PACC_syn,711,0.76,0.73,0.97,0.9,0.74,0.88,0.95,0.13,0.12,0.16,0.15,0.12,0.15,0.16,0.05,0.18,0.53,0.02,0.04,0.07,0.11
X_syn,711,0.0,0.19,0.7,0.83,0.07,0.05,0.71,0.0,0.07,0.27,0.33,0.03,0.02,0.28,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MAX_syn,711,0.0,0.19,0.7,0.83,0.07,0.05,0.71,0.0,0.07,0.27,0.33,0.03,0.02,0.28,0.05,0.18,0.53,0.02,0.04,0.07,0.11
T50_syn,711,0.88,1.0,1.0,1.0,1.0,1.0,1.0,0.13,0.15,0.15,0.15,0.15,0.15,0.15,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS_syn,711,0.82,0.98,1.0,0.86,1.0,1.0,0.95,0.12,0.15,0.15,0.13,0.15,0.15,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS2_syn,711,0.81,0.9,1.0,0.86,0.99,1.0,0.95,0.12,0.14,0.15,0.13,0.15,0.15,0.15,0.05,0.18,0.53,0.02,0.04,0.07,0.11
SMM_syn,711,1.0,0.99,1.0,0.98,0.98,0.96,1.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
HDy_syn,711,0.94,0.99,0.99,0.89,1.0,1.0,0.99,0.14,0.15,0.15,0.13,0.15,0.15,0.15,0.05,0.18,0.53,0.02,0.04,0.07,0.11
DyS_cdt,711,0.93,0.4,0.65,0.93,1.0,0.55,0.91,0.17,0.08,0.12,0.17,0.19,0.1,0.17,0.05,0.18,0.53,0.02,0.04,0.07,0.11
ACC_cdt,711,0.0,0.0,1.0,0.01,1.0,1.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PACC_cdt,711,0.92,0.48,0.0,0.95,0.74,0.42,0.86,0.21,0.11,0.0,0.22,0.17,0.1,0.2,0.05,0.18,0.53,0.02,0.04,0.07,0.11
X_cdt,711,0.0,0.0,0.0,0.03,0.07,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MAX_cdt,711,0.0,0.0,0.0,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.18,0.82,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
T50_cdt,711,0.11,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS_cdt,711,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS2_cdt,711,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
SMM_cdt,711,0.92,0.48,0.0,0.95,0.98,0.42,0.86,0.2,0.1,0.0,0.21,0.21,0.09,0.19,0.05,0.18,0.53,0.02,0.04,0.07,0.11
HDy_cdt,711,0.96,0.5,0.83,0.97,1.0,0.73,0.94,0.16,0.08,0.14,0.16,0.17,0.12,0.16,0.05,0.18,0.53,0.02,0.04,0.07,0.11
CC2,711,0.19,0.25,0.0,0.1,0.4,0.01,0.05,0.19,0.25,0.0,0.1,0.4,0.01,0.05,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PWK,711,0.08,0.2,0.29,0.08,0.12,0.13,0.1,0.08,0.2,0.29,0.08,0.12,0.13,0.1,0.05,0.18,0.53,0.02,0.04,0.07,0.11
HDx,711,0.09,0.83,0.16,0.57,0.84,0.84,0.38,0.09,0.83,0.16,0.57,0.84,0.84,0.38,0.05,0.18,0.53,0.02,0.04,0.07,0.11
GAC,711,1.0,0.0,0.41,0.0,1.0,1.0,1.0,1.0,0.0,0.41,0.0,1.0,1.0,1.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
GPAC,711,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
FM,711,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
EMQ,711,0.05,0.07,0.5,0.04,0.15,0.09,0.11,0.05,0.07,0.5,0.04,0.15,0.09,0.11,0.05,0.18,0.53,0.02,0.04,0.07,0.11
KDEyHD,711,0.14,0.03,0.0,0.0,0.11,0.0,0.71,0.14,0.03,0.0,0.0,0.11,0.0,0.71,0.05,0.18,0.53,0.02,0.04,0.07,0.11
KDEyCS,711,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
KDEyML,711,0.5,0.0,0.0,0.0,0.12,0.0,0.38,0.5,0.0,0.0,0.0,0.12,0.0,0.38,0.05,0.18,0.53,0.02,0.04,0.07,0.11
CC,712,0.88,0.98,1.0,0.91,1.0,1.0,0.96,0.13,0.15,0.15,0.14,0.15,0.15,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PCC,712,0.82,0.75,0.95,0.93,0.75,0.89,0.94,0.14,0.12,0.16,0.15,0.12,0.15,0.16,0.05,0.18,0.53,0.02,0.04,0.07,0.11
ACC,712,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PACC,712,0.97,0.45,0.0,0.99,0.31,0.55,0.85,0.24,0.11,0.0,0.24,0.07,0.13,0.21,0.05,0.18,0.53,0.02,0.04,0.07,0.11
T50,712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MAX,712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS,712,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS2,712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
X,712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
SMM,712,0.97,0.45,0.0,0.99,0.31,0.55,0.85,0.24,0.11,0.0,0.24,0.08,0.13,0.21,0.05,0.18,0.53,0.02,0.04,0.07,0.11
DyS,712,0.94,0.35,0.61,0.97,0.23,0.55,0.92,0.21,0.08,0.13,0.21,0.05,0.12,0.2,0.05,0.18,0.53,0.02,0.04,0.07,0.11
DySyn,712,0.92,1.0,1.0,0.96,1.0,1.0,0.99,0.13,0.15,0.15,0.14,0.15,0.15,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
HDy,712,0.96,0.45,0.67,0.99,0.31,0.6,0.92,0.19,0.09,0.14,0.2,0.06,0.12,0.19,0.05,0.18,0.53,0.02,0.04,0.07,0.11
ACC_syn,712,0.88,0.98,1.0,0.91,1.0,1.0,0.96,0.13,0.15,0.15,0.14,0.15,0.15,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PACC_syn,712,0.82,0.72,0.95,0.93,0.73,0.89,0.94,0.14,0.12,0.16,0.15,0.12,0.15,0.16,0.05,0.18,0.53,0.02,0.04,0.07,0.11
X_syn,712,0.0,0.13,0.53,0.83,0.04,0.06,0.59,0.0,0.06,0.24,0.38,0.02,0.03,0.27,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MAX_syn,712,0.0,0.13,0.53,0.83,0.04,0.06,0.59,0.0,0.06,0.24,0.38,0.02,0.03,0.27,0.05,0.18,0.53,0.02,0.04,0.07,0.11
T50_syn,712,0.94,1.0,1.0,1.0,1.0,1.0,1.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS_syn,712,0.88,0.98,1.0,0.91,1.0,1.0,0.96,0.13,0.15,0.15,0.14,0.15,0.15,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS2_syn,712,0.88,0.91,1.0,0.91,0.98,1.0,0.96,0.13,0.14,0.15,0.14,0.15,0.15,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
SMM_syn,712,0.89,0.95,1.0,1.0,0.97,0.97,1.0,0.13,0.14,0.15,0.15,0.14,0.14,0.15,0.05,0.18,0.53,0.02,0.04,0.07,0.11
HDy_syn,712,0.93,1.0,0.99,0.94,1.0,1.0,0.99,0.14,0.15,0.14,0.14,0.15,0.15,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
DyS_cdt,712,0.94,0.35,0.61,0.97,1.0,0.55,0.92,0.18,0.07,0.11,0.18,0.19,0.1,0.17,0.05,0.18,0.53,0.02,0.04,0.07,0.11
ACC_cdt,712,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PACC_cdt,712,0.97,0.45,0.0,0.99,0.73,0.55,0.85,0.21,0.1,0.0,0.22,0.16,0.12,0.19,0.05,0.18,0.53,0.02,0.04,0.07,0.11
X_cdt,712,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MAX_cdt,712,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
T50_cdt,712,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS_cdt,712,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS2_cdt,712,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
SMM_cdt,712,0.97,0.45,0.0,0.99,0.97,0.55,0.85,0.2,0.09,0.0,0.21,0.2,0.12,0.18,0.05,0.18,0.53,0.02,0.04,0.07,0.11
HDy_cdt,712,0.96,0.45,0.67,0.99,1.0,0.6,0.92,0.17,0.08,0.12,0.18,0.18,0.11,0.17,0.05,0.18,0.53,0.02,0.04,0.07,0.11
CC2,712,0.12,0.29,0.0,0.09,0.45,0.02,0.03,0.12,0.29,0.0,0.09,0.45,0.02,0.03,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PWK,712,0.04,0.26,0.32,0.06,0.1,0.14,0.08,0.04,0.26,0.32,0.06,0.1,0.14,0.08,0.05,0.18,0.53,0.02,0.04,0.07,0.11
HDx,712,0.07,0.87,0.17,0.54,0.88,0.89,0.38,0.07,0.87,0.17,0.54,0.88,0.89,0.38,0.05,0.18,0.53,0.02,0.04,0.07,0.11
GAC,712,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
GPAC,712,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
FM,712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
EMQ,712,0.04,0.02,0.75,0.01,0.0,0.11,0.08,0.04,0.02,0.75,0.01,0.0,0.11,0.08,0.05,0.18,0.53,0.02,0.04,0.07,0.11
KDEyHD,712,0.07,0.03,0.0,0.0,0.21,0.0,0.69,0.07,0.03,0.0,0.0,0.21,0.0,0.69,0.05,0.18,0.53,0.02,0.04,0.07,0.11
KDEyCS,712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
KDEyML,712,0.56,0.0,0.0,0.0,0.04,0.0,0.4,0.56,0.0,0.0,0.0,0.04,0.0,0.4,0.05,0.18,0.53,0.02,0.04,0.07,0.11
CC,713,0.9,0.96,1.0,0.94,1.0,1.0,0.98,0.13,0.14,0.15,0.14,0.15,0.15,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PCC,713,0.81,0.75,0.95,0.95,0.75,0.88,0.96,0.13,0.12,0.16,0.16,0.12,0.15,0.16,0.05,0.18,0.53,0.02,0.04,0.07,0.11
ACC,713,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PACC,713,0.95,0.44,0.0,1.0,0.28,0.41,0.89,0.24,0.11,0.0,0.25,0.07,0.1,0.22,0.05,0.18,0.53,0.02,0.04,0.07,0.11
T50,713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MAX,713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS,713,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS2,713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
X,713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
SMM,713,0.95,0.44,0.0,1.0,0.28,0.41,0.89,0.24,0.11,0.0,0.25,0.07,0.1,0.22,0.05,0.18,0.53,0.02,0.04,0.07,0.11
DyS,713,0.96,0.36,0.57,1.0,0.16,0.54,0.95,0.21,0.08,0.12,0.22,0.03,0.12,0.21,0.05,0.18,0.53,0.02,0.04,0.07,0.11
DySyn,713,0.97,1.0,1.0,0.97,1.0,1.0,0.99,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
HDy,713,0.97,0.43,0.76,1.0,0.19,0.66,0.97,0.19,0.09,0.15,0.2,0.04,0.13,0.19,0.05,0.18,0.53,0.02,0.04,0.07,0.11
ACC_syn,713,0.9,0.95,1.0,0.94,1.0,1.0,0.98,0.13,0.14,0.15,0.14,0.15,0.15,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PACC_syn,713,0.81,0.72,0.95,0.95,0.72,0.88,0.96,0.13,0.12,0.16,0.16,0.12,0.15,0.16,0.05,0.18,0.53,0.02,0.04,0.07,0.11
X_syn,713,0.0,0.09,0.62,0.86,0.04,0.03,0.71,0.0,0.04,0.26,0.37,0.02,0.01,0.3,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MAX_syn,713,0.0,0.09,0.62,0.86,0.04,0.03,0.71,0.0,0.04,0.26,0.37,0.02,0.01,0.3,0.05,0.18,0.53,0.02,0.04,0.07,0.11
T50_syn,713,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS_syn,713,0.9,0.95,1.0,0.94,1.0,1.0,0.98,0.13,0.14,0.15,0.14,0.15,0.15,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS2_syn,713,0.9,0.9,1.0,0.94,0.97,1.0,0.98,0.13,0.14,0.15,0.14,0.14,0.15,0.15,0.05,0.18,0.53,0.02,0.04,0.07,0.11
SMM_syn,713,0.87,0.99,1.0,1.0,0.98,0.96,1.0,0.13,0.15,0.15,0.15,0.14,0.14,0.15,0.05,0.18,0.53,0.02,0.04,0.07,0.11
HDy_syn,713,0.96,1.0,0.99,0.97,1.0,1.0,0.99,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
DyS_cdt,713,0.96,0.36,0.57,1.0,1.0,0.54,0.95,0.18,0.07,0.11,0.19,0.19,0.1,0.18,0.05,0.18,0.53,0.02,0.04,0.07,0.11
ACC_cdt,713,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PACC_cdt,713,0.95,0.44,0.0,1.0,0.72,0.41,0.89,0.22,0.1,0.0,0.23,0.16,0.09,0.2,0.05,0.18,0.53,0.02,0.04,0.07,0.11
X_cdt,713,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MAX_cdt,713,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
T50_cdt,713,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS_cdt,713,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS2_cdt,713,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
SMM_cdt,713,0.95,0.44,0.0,1.0,0.98,0.41,0.89,0.2,0.09,0.0,0.21,0.21,0.09,0.19,0.05,0.18,0.53,0.02,0.04,0.07,0.11
HDy_cdt,713,0.97,0.43,0.76,1.0,1.0,0.66,0.97,0.17,0.07,0.13,0.17,0.17,0.11,0.17,0.05,0.18,0.53,0.02,0.04,0.07,0.11
CC2,713,0.18,0.2,0.0,0.06,0.5,0.03,0.03,0.18,0.2,0.0,0.06,0.5,0.03,0.03,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PWK,713,0.08,0.21,0.32,0.04,0.13,0.15,0.07,0.08,0.21,0.32,0.04,0.13,0.15,0.07,0.05,0.18,0.53,0.02,0.04,0.07,0.11
HDx,713,0.08,0.87,0.16,0.53,0.88,0.87,0.37,0.08,0.87,0.16,0.53,0.88,0.87,0.37,0.05,0.18,0.53,0.02,0.04,0.07,0.11
GAC,713,0.88,0.0,0.0,0.0,1.0,1.0,1.0,0.88,0.0,0.0,0.0,1.0,1.0,1.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
GPAC,713,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
FM,713,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
EMQ,713,0.05,0.12,0.64,0.0,0.01,0.14,0.04,0.05,0.12,0.64,0.0,0.01,0.14,0.04,0.05,0.18,0.53,0.02,0.04,0.07,0.11
KDEyHD,713,0.37,0.0,0.0,0.0,0.12,0.0,0.51,0.37,0.0,0.0,0.0,0.12,0.0,0.51,0.05,0.18,0.53,0.02,0.04,0.07,0.11
KDEyCS,713,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
KDEyML,713,0.55,0.0,0.0,0.0,0.36,0.0,0.09,0.55,0.0,0.0,0.0,0.36,0.0,0.09,0.05,0.18,0.53,0.02,0.04,0.07,0.11
CC,714,0.87,0.99,1.0,0.95,0.99,0.99,0.94,0.13,0.15,0.15,0.14,0.15,0.15,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PCC,714,0.78,0.75,0.96,0.95,0.76,0.89,0.94,0.13,0.12,0.16,0.16,0.13,0.15,0.16,0.05,0.18,0.53,0.02,0.04,0.07,0.11
ACC,714,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PACC,714,0.9,0.46,0.0,1.0,0.35,0.6,0.85,0.22,0.11,0.0,0.24,0.08,0.14,0.2,0.05,0.18,0.53,0.02,0.04,0.07,0.11
T50,714,0.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MAX,714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS,714,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS2,714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
X,714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
SMM,714,0.9,0.46,0.0,1.0,0.35,0.6,0.85,0.22,0.11,0.0,0.24,0.08,0.14,0.2,0.05,0.18,0.53,0.02,0.04,0.07,0.11
DyS,714,0.94,0.35,0.62,1.0,0.22,0.74,0.87,0.2,0.07,0.13,0.21,0.05,0.16,0.18,0.05,0.18,0.53,0.02,0.04,0.07,0.11
DySyn,714,0.95,1.0,1.0,0.96,1.0,1.0,1.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
HDy,714,0.96,0.42,0.81,1.0,0.27,0.84,0.89,0.19,0.08,0.16,0.19,0.05,0.16,0.17,0.05,0.18,0.53,0.02,0.04,0.07,0.11
ACC_syn,714,0.85,0.99,1.0,0.95,0.99,0.99,0.94,0.13,0.15,0.15,0.14,0.15,0.15,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PACC_syn,714,0.75,0.72,0.96,0.95,0.74,0.89,0.94,0.13,0.12,0.16,0.16,0.12,0.15,0.16,0.05,0.18,0.53,0.02,0.04,0.07,0.11
X_syn,714,0.01,0.1,0.58,0.88,0.05,0.06,0.68,0.0,0.04,0.25,0.37,0.02,0.03,0.29,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MAX_syn,714,0.01,0.1,0.58,0.88,0.05,0.06,0.68,0.0,0.04,0.25,0.37,0.02,0.03,0.29,0.05,0.18,0.53,0.02,0.04,0.07,0.11
T50_syn,714,0.92,1.0,1.0,0.98,1.0,1.0,1.0,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS_syn,714,0.84,0.99,1.0,0.95,0.99,0.99,0.94,0.13,0.15,0.15,0.14,0.15,0.15,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
MS2_syn,714,0.81,0.94,1.0,0.94,0.95,0.99,0.94,0.12,0.14,0.15,0.14,0.14,0.15,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
SMM_syn,714,1.0,0.97,1.0,1.0,0.97,0.98,1.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
HDy_syn,714,0.96,1.0,0.99,0.96,1.0,1.0,0.99,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.05,0.18,0.53,0.02,0.04,0.07,0.11
DyS_cdt,714,0.94,1.0,0.62,1.0,0.22,1.0,0.87,0.17,0.18,0.11,0.18,0.04,0.18,0.15,0.05,0.18,0.53,0.02,0.04,0.07,0.11
ACC_cdt,714,0.0,0.99,1.0,0.0,0.0,0.99,0.0,0.0,0.33,0.34,0.0,0.0,0.33,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
PACC_cdt,714,0.9,0.72,0.0,1.0,0.35,0.89,0.85,0.19,0.15,0.0,0.21,0.07,0.19,0.18,0.05,0.18,0.53,0.02,0.04,0.07,0.11
X_cdt,714,0.0,0.1,0.0,0.0,0.0,0.06,0.0,0.0,0.62,0.0,0.0,0.0,0.38,0.0,0.05,0.18,0.53,0.02,0.04,0.07,0.11
