MFtr,MFte,R_1,P_1,MAE,Distance,Value.dist,Qnt
0.05,0.45000000000000007,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.05,0.45000000000000007,0.0,[0.05 0.95],[0.05 0.95],topsoe,1.2263986500491743e-08,DySyn-TS
0.05,0.5500000000000002,0.0,0.14,0.14,topsoe,0.8598726114649682,ACCSyn-TS
0.05,0.5500000000000002,0.0,0.071,0.07,topsoe,0.9285714285714285,XSyn-TS
0.05,0.5500000000000002,0.0,0.145,0.14,topsoe,0.8547717842323651,MAXSyn-TS
0.05,0.5500000000000002,0.0,0.529,0.53,topsoe,0.470873786407767,T50Syn-TS
0.05,0.5500000000000002,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.05,0.5500000000000002,0.0,0.09,0.09,topsoe,0.91,SMMSyn-TS
0.05,0.5500000000000002,0.0,[0.21 0.79],[0.21 0.79],topsoe,3.6108711543264387e-08,DySyn-TS
0.05,0.6500000000000001,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.05,0.6500000000000001,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.05,0.6500000000000001,0.0,0.516,0.52,topsoe,0.48427672955974854,MAXSyn-TS
0.05,0.6500000000000001,0.0,0.387,0.39,topsoe,0.6129032258064517,T50Syn-TS
0.05,0.6500000000000001,0.0,0.203,0.2,topsoe,0.7966666666666666,MS2Syn-TS
0.05,0.6500000000000001,0.0,0.2,0.2,topsoe,0.8,SMMSyn-TS
0.05,0.6500000000000001,0.0,[0.26 0.74],[0.26 0.74],topsoe,9.126072789692927e-07,DySyn-TS
0.05,0.7500000000000002,0.0,0.212,0.21,topsoe,0.7881773399014779,ACCSyn-TS
0.05,0.7500000000000002,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.05,0.7500000000000002,0.0,0.278,0.28,topsoe,0.7218045112781954,MAXSyn-TS
0.05,0.7500000000000002,0.0,0.7,0.7,topsoe,0.30000000000000004,T50Syn-TS
0.05,0.7500000000000002,0.0,0.239,0.24,topsoe,0.7605749370455254,MS2Syn-TS
0.05,0.7500000000000002,0.0,0.3,0.3,topsoe,0.7,SMMSyn-TS
0.05,0.7500000000000002,0.0,[0.3 0.7],[0.3 0.7],topsoe,1.962642321543819e-07,DySyn-TS
0.05,0.8500000000000002,0.0,0.176,0.18,topsoe,0.823943661971831,ACCSyn-TS
0.05,0.8500000000000002,0.0,0.366,0.37,topsoe,0.6338028169014084,XSyn-TS
0.05,0.8500000000000002,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.05,0.8500000000000002,0.0,0.8,0.8,topsoe,0.20000000000000007,T50Syn-TS
0.05,0.8500000000000002,0.0,0.389,0.39,topsoe,0.6111111111111109,MS2Syn-TS
0.05,0.8500000000000002,0.0,0.4,0.4,topsoe,0.6,SMMSyn-TS
0.05,0.8500000000000002,0.0,[0.38 0.62],[0.38 0.62],topsoe,4.2917800238868615e-08,DySyn-TS
0.05,0.9500000000000002,0.0,0.383,0.38,topsoe,0.6173469387755102,ACCSyn-TS
0.05,0.9500000000000002,0.0,0.508,0.51,topsoe,0.4921875,XSyn-TS
0.05,0.9500000000000002,0.0,0.283,0.28,topsoe,0.7165775401069518,MAXSyn-TS
0.05,0.9500000000000002,0.0,0.583,0.58,topsoe,0.41666666666666663,T50Syn-TS
0.05,0.9500000000000002,0.0,0.473,0.47,topsoe,0.5273972602739726,MS2Syn-TS
0.05,0.9500000000000002,0.0,0.17,0.17,topsoe,0.83,SMMSyn-TS
0.05,0.9500000000000002,0.0,[0.49 0.51],[0.49 0.51],topsoe,2.5185064207359316e-07,DySyn-TS
0.05,0.05,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
